1.5968,0.52394,9.3767,7.563,8.8801
2.0262,9.3368,9.2667,13.816,16.301
2.5069,-38.869,-3.794,12.291,25.255
2.275,35.879,35.787,33.52,39.518
2.0939,19.272,22.971,38.686,37.853
2.3883,19.842,19.763,33.596,33.584
1.202,-38.532,-17.349,3.1915,12.982
0.87466,85.884,82.121,84.615,80.376
1.6456,101.01,77.424,88.652,70.744
1.6027,28.227,41.053,17.213,34.324
2.4127,48.958,59.475,55.307,62.612
3.083,29.03,41.804,33.333,44.006
2.537,31.439,45.081,38.182,46.331
3.4346,55.608,61.399,61.786,61.152
2.3921,72.011,78.275,60.19,67.697
1.2999,89.26,88.871,71.429,72.689
2.5135,88.723,82.815,91.329,83.849
3.0648,67.681,62.414,66.516,60.982
3.129,50.507,52.576,46.262,48.288
3.3933,116.63,91.165,96.154,75.241
3.2122,100.57,94.684,89.837,80.77
2.9034,106.51,98.476,93.013,86.022
2.0767,87.228,87.095,71.37,71.346
2.6176,103.3,89.884,92.553,83.815
2.9268,36.929,49.489,36.979,47.221
3.0809,33.85,46.076,21.635,39.25
3.1004,55.747,57.032,68.545,57.953
3.7214,83.413,83.065,12.635,41.997
4.0495,88.796,94.545,88.699,82.858
2.5401,100.25,94.917,71.667,72.107
1.9213,51.322,58.271,32.044,43.099
2.8834,94.275,92.935,93.627,90.702
3.4967,69.505,65.867,69.796,66.146
3.1445,37.163,39.439,49.261,48.817
2.9703,24.403,37.335,36.181,42.605
2.9552,79.591,74.741,85.644,72.355
3.5312,114.66,102.98,93.407,84.851
3.1854,123.16,108.01,95.968,83.248
2.8941,88.401,78.592,75.833,60.544
1.8051,0,22.254,20,27.525
2.8274,98.358,81.09,91.758,78.989
3.6699,93.911,78.306,91.463,78.603
3.6341,30.755,39.333,45.02,49.958
3.376,42.096,48.867,46.121,54.412
2.8652,76.661,81.119,80.711,81.142
3.0706,110.89,95.349,94.397,85.569
3.5864,55.642,66.181,59.363,59.735
3.3402,81.16,71.767,9.1667,25.482
2.7649,38.951,38.856,12.4,17.194
2.6507,20.663,28.001,31.183,35.15
3.5176,13.195,31.055,23.333,36.437
3.1781,40.68,42.727,45.581,46.769
3.1946,46.287,48.404,56.019,51.5
3.5218,91.105,79.402,89.496,76.61
3.1646,84.842,76.577,84.434,76.531
3.5357,26.838,47.382,35.793,50.756
3.1235,26.322,36.022,32.946,34.436
3.5769,24.667,28.818,7.037,13.243
2.6794,13.482,19.935,12.308,22.708
3.4768,31.852,37.609,37.131,39.86
3.737,44.979,49.082,26.515,36.652
3.2224,59.173,59.062,20.37,35.67
3.2507,32.584,49.984,38.667,51.236
3.2984,65.119,64.085,69.298,66.907
3.3091,119.7,97.705,95.736,82.492
2.9747,55.68,63.137,54.065,58.552
2.8418,51.025,41.687,53.282,44.605
2.2888,-3.9225,14.862,7.8125,19.187
3.121,70.654,59.992,77.184,61.316
3.6503,110.04,91.072,90.661,78.586
3.795,80.909,77.103,74.905,69.265
3.4603,59.405,60.991,69.71,68.198
3.6005,54.471,64.002,58.298,65.718
3.2427,93.602,94.561,80.488,82.282
2.8882,116.56,105.83,91.453,85.799
2.8013,99.628,77.327,78.279,67.044
2.5527,54.969,54.862,25,39.4
3.4389,69.796,75.985,68.333,72.446
3.9708,98.397,91.377,91.228,86.391
3.3375,102.89,88.091,97.333,86.223
3.246,44.235,55.235,58.929,65.493
3.2293,79.807,74.656,79.825,76.317
3.0536,90.919,88.594,89.823,85.417
2.7588,115.54,101.94,93.304,86.112
2.9219,67.027,72.307,68.103,67.949
2.644,83.348,81.187,90.805,82.485
3.798,89.752,87.142,93.05,88.777
3.9558,69.726,74.393,78.467,75.555
4.1762,55.54,66.363,58.929,69.953
3.5606,68.804,68.505,81.702,78.298
2.8803,56.421,64.867,60.976,70.5
2.6115,65.048,68.567,75.773,74.91
2.8446,104.44,89.751,87.302,78.751
3.3161,32.337,44.194,42.387,49.242
2.5808,98.548,94.697,93.923,91.984
3.5923,84.025,86.579,76.151,72.494
3.4487,71.955,80.289,21.356,40.24
3.8831,85.744,84.562,89.683,82.712
3.7391,94.026,86.867,91.935,87.82
3.3536,80.27,73.186,92.34,82.84
1.9162,45.737,53.04,61.438,63.348
2.0432,63.427,63.976,51.042,57.334
2.7368,55.65,54.637,52.157,52.494
2.9291,99.949,96.591,96.618,84.968
3.4054,111.83,100.67,22.642,39.29
2.3537,93.625,93.162,30.22,39.572
3.48,105.25,98.597,95.547,84.478
3.6015,103.26,93.379,94.672,88.049
3.1928,72.178,68.632,77.093,72.21
2.5737,48.286,53.548,45.918,53.981
2.6551,70.695,62.538,72.034,60.783
2.442,30.481,34.801,31.559,37.033
2.609,81.816,80.542,81.143,79.335
3.4254,84.925,84.793,69.774,69.75
3.1156,82.217,86.889,75,70.436
3.2578,96.549,88.078,94.762,85.688
3.3377,99.271,88.064,86.498,79.613
2.6795,26.671,43.93,34.975,47.418
3.242,32.56,40.117,34.701,40.884
2.9178,81.159,64.521,59.608,51.17
2.4568,55.82,55.712,45.583,45.568
2.5394,65.595,73.318,70.621,76.132
3.5336,65.334,68.899,69.748,72.588
3.5023,68.4,66.722,73.494,70.842
2.7769,32.922,48.312,39.801,53.529
3.2335,74.521,73.465,71.61,71.447
3.074,34.362,43.986,31.418,42.466
3.3472,16.997,33.6,21.012,33.248
2.1954,49.078,48.976,34.872,36.672
2.001,95.576,77.12,89.933,77.895
2.9051,98.109,76.759,97.03,81.394
3.4554,44.73,51.263,66.532,64.188
3.1796,47.142,56.326,56.8,56.639
2.9122,104.2,95.849,95.175,87.821
3.828,92.262,82.182,94.595,80.625
1.943,46.262,48.948,42.353,47.486
2.1233,-23.619,14.72,6.0606,38.448
3.1536,43.883,45.143,60.776,57.869
3.3792,38.433,46.133,8.8353,31.054
3.7416,60.435,63.45,11.945,26.218
1.9305,120.77,103.1,84.456,78.538
1.351,89.519,95.044,93.069,91.856
0.83737,27.227,27.142,80.597,69.847
1.8267,78.073,58.055,90.78,72.402
1.6773,65.539,62.996,77.391,68.173
