1,27.605,38.963,46.928,18.022,338.62
2,70.919,21.865,64.001,18.409,615.55
3,68.741,20.495,64.798,17.207,770.51
4,66.291,23.404,61.838,20.046,424.44
5,91.169,39.884,64.341,17.251,240.42
6,64.061,25.002,58.61,19.55,454.49
7,68.344,21.027,62.577,16.969,1029.4
8,64.543,20.348,62.775,16.852,306.61
9,65.019,21.445,59.358,18.928,521.51
10,53.529,38.241,52.086,21.681,168.41
11,63.802,24.024,60.824,19.682,61.519
12,69.822,24.45,65.814,17.711,41.024
13,61.435,36.265,66.717,18.043,23.368
14,85.083,9.7545,80.146,13.286,19.273
