1,25.972,48.059,47.72,24.975,338.62
2,70.514,31.765,63.878,26.369,615.55
3,69.043,28.397,64.809,24.458,770.51
4,66.26,31.512,61.733,27.66,424.44
5,91.149,52.854,64.244,24.871,240.42
6,64.292,33.343,58.709,27.216,454.49
7,68.333,29.478,62.477,25.903,1029.4
8,64.215,28.331,62.583,24.296,306.61
9,64.643,29.831,59.138,27.646,521.51
10,53.319,53.181,51.697,28.814,168.41
11,63.953,30.968,60.765,25.155,61.519
12,69.453,32.649,65.461,24.481,41.024
13,61.73,44.09,67.053,24.036,23.367
14,85.298,11.494,81.884,19.05,19.273
